Easting,Northing,In AQMA?,Distance to kerb,Year,NO2
326740,676138,Yes ,2.9,2009,38.5
326925,675949,Yes ,2.8,2009,42.6
326845,676015,Yes ,2.7,2009,41.9
326884,675997,Yes ,2.8,2009,44.1
326757,676144,Yes ,2.8,2009,37.1
324638,675993,Yes ,4.65,2009,42.6
324686,675941,Yes ,2.28 + 2.0b ,2009, 
326455,676805,No ,4.2,2009, 
327476,676418,No ,2.25,2009,37.1
327665,676331,No ,1.8,2009,37.4
324896,676991,No ,2,2009,28.6
329997,674274,No ,2.0 + 2.1b ,2009,22.5
327231,671782,No ,1.8,2009,28.1
326934,674503,Yes ,2.3,2009,50.8
326950,674624,Yes ,3.3,2009,38.8
326958,674770,Yes ,3.25,2009,38
326974,674780,Yes ,2.8,2009,37.3
326999,674940,Yes ,3.95,2009,34.1
327010,675149,No ,2.8,2009,30.1
327071,675467,No ,3,2009,27.9
326980,674446,Yes ,2.5,2009, 
327190,674433,Yes ,2.7,2009,47.9
328049,674174,Yes ,2.7,2009,30.4
328272,674143,Yes ,2.62,2009,56.2
328337,674129,Yes ,4.6,2009,47.3
327468,674362,Yes ,2.04 + 2.0b ,2009,43
326944,674472,Yes ,5.6,2009,43.4
328889,671649,No ,0.2 + 2.4b ,2009,30.7
328771,674190,No ,4.0 + 2.1b ,2009, 
330242,674162,No ,3.8,2009, 
330830,673726,No ,2.3,2009, 
330366,674057,No ,3.1,2009,26.3
330533,673850,No ,3,2009,43
329923,674389,No ,2.8,2009, 
329993,674457,No ,4.5,2009,35
325513,675134,No ,2,2009,38.1
325855,674527,No ,4.5,2009,35.1
324603,674555,No ,0.6 + 2.1b ,2009,30.1
325243,674400,No ,0.3 + 2.1b ,2009,27.2
324880,673891,Yes ,6.8,2009, 
325273,674030,Yes ,0.54,2009, 
324783,673868,Yes ,0.3,2009, 
324473,673920,No ,0.36 + 2.4b ,2009, 
324488,673978,No ,0.4 + 2.1b ,2009, 
324790,674341,No ,0.4 + 2.1b ,2009,22.6
325052,675217,No ,6.1,2009, 
326386,674872,Yes ,1.16,2009,35.3
326361,674882,Yes ,5.6,2009,36.8
325049,673791,Yes ,9,2009,34
325397,673869,Yes ,1,2009,36.2
325362,674205,Yes ,2.2 + 2.0 b ,2009,50.8
324624,674012,No ,0.6,2009, 
325828,674362,Yes ,5.5,2009,37.5
326229,672287,No ,2.35 +2 b ,2009, 
325881,673471,Yes ,4.5,2009,39.8
325929,673490,Yes ,3.2,2009, 
326132,673519,Yes ,3.8 +2 b ,2009, 
326047,673519,Yes ,2.4,2009, 
324731,672984,No ,2.2,2009, 
324438,672859,No ,2.2,2009, 
324682,672939,No ,3.3,2009, 
325427,673371,Yes ,2.0 + 2.1b ,2009,35.4
325401,673340,Yes ,3.4,2009,40.5
