Easting,Northing,In AQMA?,Distance to kerb,Year,NO2
321526,674945,No ,4.5 + 7b ,2012,28
321990,674586,No ,2.1,2012,26
322153,674470,No ,2.8,2012,28
322123,674492,No ,3.1,2012,32
320081,673232,No ,1,2012,21
318612,674924,No ,2.8,2012,16
322144,674497,No ,2.0 + 2b ,2012,40
318810,674903,No ,16.9,2012,25
318723,674963,No ,13.6,2012,26
318698,674955,No ,1.49,2012,50
318698,674964,No ,10.5,2012,30
323007,673198,Yes ,0.23,2012,38
320122,672917,Yes ,0.54,2012,38
320154,672911,Yes ,2,2012,44
320096,672907,Yes ,2.1,2012,52
319651,672995,Yes ,1.56,2012,32
318571,675028,No ,3.5,2012,32
323498,672263,No ,2.2,2012,48
323587,672360,No ,4.75,2012,36
323526,672285,No ,2.1,2012,51
323487,672287,No ,2.2,2012,32
319062,670543,No ,1.6,2012,32
323265,672394,Yes ,2.5,2012,39
321724,671557,Yes ,2.5,2012,33
323477,672476,Yes ,2.4,2012,49
321967,671666,Yes ,2.6,2012,42
323484,672478,Yes ,0.3,2012,43
323632,672449,No ,1.8,2012,38
319527,668420,No ,1.5,2012,24
323167,672999,No ,2.3,2012,41
322999,671876,No ,2.6,2012,46
322960,671846,No ,2.67,2012,43
322772,671606,No ,2.2,2012,31
