latitude,longitude,year,NO2
55.97600122433149,-3.1689526181898824,2008,45.3
55.976197175310496,-3.1691348026994253,2008,48
55.97606180519351,-3.168249355598615,2008,41.3
55.97607111155307,-3.169163048655707,2008,53.4
55.97650108770005,-3.171195167532703,2008,38.6
55.977029231193356,-3.1732944052527285,2008,40.4
55.97811034070686,-3.1805226558206314,2008, 
55.97173613004944,-3.204106673008373,2008, 
55.971108787606966,-3.207612200122898,2008, 
55.975099183977306,-3.181568652474209,2008,35.3
55.97453489733985,-3.185124837994416,2008,39.6
55.95729935184324,-3.178719754909399,2008,42.4
55.97262439277885,-3.1753882911944884,2008,38.4
55.970954864897045,-3.1723734628572755,2008,50.2
55.97153553456899,-3.1736728614685825,2008,43.1
55.97137979156977,-3.1730432537979487,2008,44.6
55.97268088671757,-3.175117606957722,2008,39
55.970996156744825,-3.20901869421047,2008, 
55.970536595763846,-3.2082352744383043,2008, 
55.97857229952574,-3.180136085143101,2008, 
55.975251477290946,-3.163673985802018,2008, 
55.97449851888707,-3.160622816911398,2008, 
55.98000139349716,-3.2051648627804004,2008,28.3
55.95636663809709,-3.1227294041121207,2008,24.6
55.933569713714014,-3.166345699030131,2008,31.8
55.95796703348728,-3.1718365898170755,2008,58.2
55.95905639612368,-3.1716132286548775,2008,44.9
55.96036911171906,-3.1715247497584085,2008,43.8
55.96046137615294,-3.171271244262387,2008,40.8
55.96190243863989,-3.170914306655633,2008,37.3
55.963781529734334,-3.1707948452833947,2008,35
55.96664735663045,-3.169904129513263,2008,33.4
55.95746201350197,-3.1710845413870894,2008, 
55.95737715104133,-3.1677183966503915,2008, 
55.95518016621782,-3.153894384547738,2008, 
55.95493508395745,-3.150315521639809,2008, 
55.95481903539334,-3.14927104204633,2008, 
55.95678147384819,-3.1632477877098273,2008, 
55.95769008758715,-3.1716680483669997,2008,52.3
55.932623365876886,-3.1397779761166773,2008,26.9
55.955431620409584,-3.1423381646294968,2008, 
55.95539622425238,-3.1187773552025932,2008, 
55.951564741538924,-3.109250280674327,2008, 
55.9544710182462,-3.1167647110523173,2008, 
55.95263573525045,-3.114037360830079,2008, 
55.9573888815999,-3.1239442573793164,2008, 
55.95800994646549,-3.1228410539927856,2008, 
55.9634166618028,-3.194765137025034,2008,40.4
55.958017086093626,-3.1891208168613785,2008,37.7
55.958073490638235,-3.209176341345543,2008,32.3
55.95678130676961,-3.198885240861266,2008,28.9
55.95215238792723,-3.204555581326809,2008, 
55.953462351582516,-3.1983021732431376,2008, 
55.951930591015426,-3.206102136570005,2008, 
55.95234900634249,-3.2110798185440013,2008, 
55.952872365849096,-3.210855932292894,2008, 
55.95618053151315,-3.2061222017419118,2008,22.7
55.96409042464382,-3.2021710723507115,2008, 
55.96119792920961,-3.1807124609488575,2008,37.3
55.96128392053452,-3.1811155470805974,2008,53.1
55.95128053498297,-3.2018220345658177,2008,64
55.952035416094795,-3.196272236255727,2008,51.5
55.95504819013683,-3.196925737878883,2008,43.7
55.953199160015956,-3.208688038532137,2008, 
55.95653074995329,-3.1895076898131443,2008,40.5
55.937953175212456,-3.182518516024786,2008, 
55.94853525163335,-3.188413775638937,2008,46.6
55.94871333550689,-3.1876505828637223,2008, 
55.949005123973265,-3.1844087491342634,2008, 
55.94899203410808,-3.185769507766692,2008, 
55.94398167637237,-3.20668760864558,2008, 
55.942812802017535,-3.211342514652028,2008, 
55.94356976645382,-3.207459357367428,2008, 
55.9475666465136,-3.1956540271747786,2008,35.1
55.947284139492204,-3.196061656038286,2008,42.3
55.94755551509842,-3.1949491095796176,2008, 
55.94761588131861,-3.196135937239908,2008, 
55.94319149440251,-3.2038770695488616,2008,37.4
55.94090331521839,-3.1812795724283305,2008, 
55.940596439015344,-3.1823589202299423,2008, 
55.94074331205296,-3.1810985887821457,2008, 
55.94179110684446,-3.200055093851808,2008,26.2
55.921825694430446,-3.200014042386241,2008,17.4
55.92762069857309,-3.2092679260743235,2008,30
55.9462733386331,-3.2157899778277557,2008,61.4
55.944090066577154,-3.1834741225191774,2008, 
55.94537297972025,-3.1846180968369806,2008, 
55.94483302796424,-3.183768989746526,2008, 
55.95033255843192,-3.1874599504787455,2008,52.3
55.940372782421825,-3.1803828672270282,2008, 
55.93963864149739,-3.1801043780765776,2008, 
55.9464766594446,-3.214307173262833,2008,58.2
55.947022854566576,-3.215413146879358,2008,70.1
55.94656445529693,-3.198921743563431,2008,53.3
55.94636724512016,-3.1997963401657112,2008,72.5
55.946540724035934,-3.199513478025836,2008,51.5
55.946444874464135,-3.1992062746784815,2008,66.6
55.942518771065494,-3.2950073800025534,2008, 
55.9408627702649,-3.3113949319333367,2008, 
55.93885163916879,-3.3938896516615604,2008,42.4
55.939135882822654,-3.3997275230561055,2008,35.7
55.93912319165024,-3.399262773561197,2008, 
55.95639645243059,-3.243159693463708,2008, 
55.95756293026847,-3.249539942323063,2008, 
55.9610833153534,-3.258559836839285,2008, 
55.95793423365055,-3.2510255143416518,2008, 
55.95691872404641,-3.2483819733927652,2008, 
55.957111473423076,-3.2488686924452743,2008, 
55.94545776948408,-3.28119071278528,2008,19.6
55.9604092250235,-3.305216038119213,2008, 
55.957159794276066,-3.248533888754094,2008,44.4
55.96025413925549,-3.3020391450434805,2008, 
55.96077835462779,-3.3034503818882093,2008, 
55.960702259791425,-3.3038482919330217,2008, 
55.96078310147833,-3.3038510106046775,2008, 
55.94563056512371,-3.2343441330101306,2008,49.5
55.94263510039978,-3.280441039698029,2008,41.2
55.94258652811584,-3.2799270783682295,2008,48.8
55.94254094884662,-3.2808542230596407,2008,84.9
55.943257142989786,-3.288002977895352,2008,31.7
55.96133643847679,-3.305904032057989,2008,31.4
55.93731023563091,-3.2262190899188234,2008, 
55.938195730394824,-3.2248222473470882,2008, 
55.9375123154783,-3.2257772240678877,2008, 
55.937524068086134,-3.226401945717814,2008, 
55.92113317935789,-3.296694402850868,2008,29.5
55.93844979143246,-3.2299852836682117,2008, 
55.93068260151457,-3.254404696388421,2008, 
55.93922020678451,-3.2266156503516856,2008,51.5
55.93170124901514,-3.2505480033603398,2008, 
55.939239287773816,-3.2265041856783254,2008,44.3
55.93900235149832,-3.2241272767167475,2008, 
55.902141358796605,-3.288623083371963,2008,24.8
55.94386864694593,-3.2317262156794304,2008, 
55.933754175822415,-3.2340944462711834,2008, 
55.93347844045464,-3.2347099646228283,2008, 
55.931292402101924,-3.237649634464445,2008, 
55.97600122433149,-3.1689526181898824,2009,45.1
55.976197175310496,-3.1691348026994253,2009,42
55.97606180519351,-3.168249355598615,2009,32.9
55.97607111155307,-3.169163048655707,2009,48.2
55.97650108770005,-3.171195167532703,2009,34.8
55.977029231193356,-3.1732944052527285,2009,31.6
55.97811034070686,-3.1805226558206314,2009, 
55.97173613004944,-3.204106673008373,2009,32.1
55.971108787606966,-3.207612200122898,2009,36.4
55.975099183977306,-3.181568652474209,2009,30.9
55.97453489733985,-3.185124837994416,2009,35.4
55.95729935184324,-3.178719754909399,2009,40.9
55.97262439277885,-3.1753882911944884,2009,38.5
55.970954864897045,-3.1723734628572755,2009,42.6
55.97153553456899,-3.1736728614685825,2009,41.9
55.97137979156977,-3.1730432537979487,2009,44.1
55.97268088671757,-3.175117606957722,2009,37.1
55.970996156744825,-3.20901869421047,2009,42.6
55.970536595763846,-3.2082352744383043,2009, 
55.97857229952574,-3.180136085143101,2009, 
55.975251477290946,-3.163673985802018,2009,37.1
55.97449851888707,-3.160622816911398,2009,37.4
55.98000139349716,-3.2051648627804004,2009,28.6
55.95636663809709,-3.1227294041121207,2009,22.5
55.933569713714014,-3.166345699030131,2009,28.1
55.95796703348728,-3.1718365898170755,2009,50.8
55.95905639612368,-3.1716132286548775,2009,38.8
55.96036911171906,-3.1715247497584085,2009,38
55.96046137615294,-3.171271244262387,2009,37.3
55.96190243863989,-3.170914306655633,2009,34.1
55.963781529734334,-3.1707948452833947,2009,30.1
55.96664735663045,-3.169904129513263,2009,27.9
55.95746201350197,-3.1710845413870894,2009, 
55.95737715104133,-3.1677183966503915,2009,47.9
55.95518016621782,-3.153894384547738,2009,30.4
55.95493508395745,-3.150315521639809,2009,56.2
55.95481903539334,-3.14927104204633,2009,47.3
55.95678147384819,-3.1632477877098273,2009,43
55.95769008758715,-3.1716680483669997,2009,43.4
55.932623365876886,-3.1397779761166773,2009,30.7
55.955431620409584,-3.1423381646294968,2009, 
55.95539622425238,-3.1187773552025932,2009, 
55.951564741538924,-3.109250280674327,2009, 
55.9544710182462,-3.1167647110523173,2009,26.3
55.95263573525045,-3.114037360830079,2009,43
55.9573888815999,-3.1239442573793164,2009, 
55.95800994646549,-3.1228410539927856,2009,35
55.9634166618028,-3.194765137025034,2009,38.1
55.958017086093626,-3.1891208168613785,2009,35.1
55.958073490638235,-3.209176341345543,2009,30.1
55.95678130676961,-3.198885240861266,2009,27.2
55.95215238792723,-3.204555581326809,2009, 
55.953462351582516,-3.1983021732431376,2009, 
55.951930591015426,-3.206102136570005,2009, 
55.95234900634249,-3.2110798185440013,2009, 
55.952872365849096,-3.210855932292894,2009, 
55.95618053151315,-3.2061222017419118,2009,22.6
55.96409042464382,-3.2021710723507115,2009, 
55.96119792920961,-3.1807124609488575,2009,35.3
55.96128392053452,-3.1811155470805974,2009,36.8
55.95128053498297,-3.2018220345658177,2009,34
55.952035416094795,-3.196272236255727,2009,36.2
55.95504819013683,-3.196925737878883,2009,50.8
55.953199160015956,-3.208688038532137,2009, 
55.95653074995329,-3.1895076898131443,2009,37.5
55.937953175212456,-3.182518516024786,2009, 
55.94853525163335,-3.188413775638937,2009,39.8
55.94871333550689,-3.1876505828637223,2009, 
55.949005123973265,-3.1844087491342634,2009, 
55.94899203410808,-3.185769507766692,2009, 
55.94398167637237,-3.20668760864558,2009, 
55.942812802017535,-3.211342514652028,2009, 
55.94356976645382,-3.207459357367428,2009, 
55.9475666465136,-3.1956540271747786,2009,35.4
55.947284139492204,-3.196061656038286,2009,40.5
55.94755551509842,-3.1949491095796176,2009, 
55.94761588131861,-3.196135937239908,2009, 
55.94319149440251,-3.2038770695488616,2009,32.3
55.94090331521839,-3.1812795724283305,2009,38.8
55.940596439015344,-3.1823589202299423,2009, 
55.94074331205296,-3.1810985887821457,2009, 
55.94179110684446,-3.200055093851808,2009,25.3
55.921825694430446,-3.200014042386241,2009,15.2
55.92762069857309,-3.2092679260743235,2009,27.1
55.9462733386331,-3.2157899778277557,2009,44.6
55.944090066577154,-3.1834741225191774,2009, 
55.94537297972025,-3.1846180968369806,2009, 
55.94483302796424,-3.183768989746526,2009, 
55.95033255843192,-3.1874599504787455,2009,48.4
55.940372782421825,-3.1803828672270282,2009, 
55.93963864149739,-3.1801043780765776,2009, 
55.9464766594446,-3.214307173262833,2009,26.3
55.947022854566576,-3.215413146879358,2009,45.6
55.94656445529693,-3.198921743563431,2009,47.7
55.94636724512016,-3.1997963401657112,2009,66.7
55.946540724035934,-3.199513478025836,2009,43.5
55.946444874464135,-3.1992062746784815,2009,60.2
55.942518771065494,-3.2950073800025534,2009,28.6
55.9408627702649,-3.3113949319333367,2009,34.9
55.93885163916879,-3.3938896516615604,2009,46.8
55.939135882822654,-3.3997275230561055,2009,42
55.93912319165024,-3.399262773561197,2009,51.1
55.95639645243059,-3.243159693463708,2009, 
55.95756293026847,-3.249539942323063,2009, 
55.9610833153534,-3.258559836839285,2009, 
55.95793423365055,-3.2510255143416518,2009, 
55.95691872404641,-3.2483819733927652,2009, 
55.957111473423076,-3.2488686924452743,2009, 
55.94545776948408,-3.28119071278528,2009,21.2
55.9604092250235,-3.305216038119213,2009,24.2
55.957159794276066,-3.248533888754094,2009,37.4
55.96025413925549,-3.3020391450434805,2009,22
55.96077835462779,-3.3034503818882093,2009,27.6
55.960702259791425,-3.3038482919330217,2009,46.8
55.96078310147833,-3.3038510106046775,2009, 
55.94563056512371,-3.2343441330101306,2009,37.2
55.94263510039978,-3.280441039698029,2009,36.7
55.94258652811584,-3.2799270783682295,2009,44.2
55.94254094884662,-3.2808542230596407,2009,57.8
55.943257142989786,-3.288002977895352,2009,28.2
55.96133643847679,-3.305904032057989,2009,29.8
55.93731023563091,-3.2262190899188234,2009, 
55.938195730394824,-3.2248222473470882,2009, 
55.9375123154783,-3.2257772240678877,2009, 
55.937524068086134,-3.226401945717814,2009, 
55.92113317935789,-3.296694402850868,2009,26.3
55.93844979143246,-3.2299852836682117,2009, 
55.93068260151457,-3.254404696388421,2009, 
55.93922020678451,-3.2266156503516856,2009,45
55.93170124901514,-3.2505480033603398,2009, 
55.939239287773816,-3.2265041856783254,2009,42.6
55.93900235149832,-3.2241272767167475,2009, 
55.902141358796605,-3.288623083371963,2009,22.3
55.94386864694593,-3.2317262156794304,2009, 
55.933754175822415,-3.2340944462711834,2009, 
55.93347844045464,-3.2347099646228283,2009, 
55.931292402101924,-3.237649634464445,2009, 
55.97600122433149,-3.1689526181898824,2010,43.7
55.976197175310496,-3.1691348026994253,2010,44.6
55.97606180519351,-3.168249355598615,2010,36.9
55.97607111155307,-3.169163048655707,2010,49.4
55.97650108770005,-3.171195167532703,2010,34.2
55.977029231193356,-3.1732944052527285,2010,36.7
55.97811034070686,-3.1805226558206314,2010,38.1
55.97173613004944,-3.204106673008373,2010,32.4
55.971108787606966,-3.207612200122898,2010,34.8
55.975099183977306,-3.181568652474209,2010,33.5
55.97453489733985,-3.185124837994416,2010,41.5
55.95729935184324,-3.178719754909399,2010,38.3
55.97262439277885,-3.1753882911944884,2010,39.9
55.970954864897045,-3.1723734628572755,2010,44.1
55.97153553456899,-3.1736728614685825,2010,38.7
55.97137979156977,-3.1730432537979487,2010,41.8
55.97268088671757,-3.175117606957722,2010,39.9
55.970996156744825,-3.20901869421047,2010,44
55.970536595763846,-3.2082352744383043,2010, 
55.97857229952574,-3.180136085143101,2010,33
55.975251477290946,-3.163673985802018,2010,36.2
55.97449851888707,-3.160622816911398,2010,40.3
55.98000139349716,-3.2051648627804004,2010,27.5
55.95636663809709,-3.1227294041121207,2010,27.5
55.933569713714014,-3.166345699030131,2010,27.8
55.95796703348728,-3.1718365898170755,2010,49.7
55.95905639612368,-3.1716132286548775,2010,39.1
55.96036911171906,-3.1715247497584085,2010,37.7
55.96046137615294,-3.171271244262387,2010,37.1
55.96190243863989,-3.170914306655633,2010,34.2
55.963781529734334,-3.1707948452833947,2010,32.5
55.96664735663045,-3.169904129513263,2010,30.3
55.95746201350197,-3.1710845413870894,2010, 
55.95737715104133,-3.1677183966503915,2010,51.3
55.95518016621782,-3.153894384547738,2010,36.6
55.95493508395745,-3.150315521639809,2010,50.6
55.95481903539334,-3.14927104204633,2010,46.1
55.95678147384819,-3.1632477877098273,2010,40.5
55.95769008758715,-3.1716680483669997,2010,46.2
55.932623365876886,-3.1397779761166773,2010,32.5
55.955431620409584,-3.1423381646294968,2010, 
55.95539622425238,-3.1187773552025932,2010, 
55.951564741538924,-3.109250280674327,2010, 
55.9544710182462,-3.1167647110523173,2010,25.5
55.95263573525045,-3.114037360830079,2010,39.2
55.9573888815999,-3.1239442573793164,2010, 
55.95800994646549,-3.1228410539927856,2010,38.4
55.9634166618028,-3.194765137025034,2010,39.8
55.958017086093626,-3.1891208168613785,2010,35.3
55.958073490638235,-3.209176341345543,2010,33
55.95678130676961,-3.198885240861266,2010,31.6
55.95215238792723,-3.204555581326809,2010,43.4
55.953462351582516,-3.1983021732431376,2010,39.5
55.951930591015426,-3.206102136570005,2010,42.6
55.95234900634249,-3.2110798185440013,2010, 
55.952872365849096,-3.210855932292894,2010,36.2
55.95618053151315,-3.2061222017419118,2010,22.7
55.96409042464382,-3.2021710723507115,2010, 
55.96119792920961,-3.1807124609488575,2010,35.4
55.96128392053452,-3.1811155470805974,2010,38.1
55.95128053498297,-3.2018220345658177,2010,58
55.952035416094795,-3.196272236255727,2010,49.3
55.95504819013683,-3.196925737878883,2010,56.3
55.953199160015956,-3.208688038532137,2010,38.5
55.95653074995329,-3.1895076898131443,2010,39
55.937953175212456,-3.182518516024786,2010, 
55.94853525163335,-3.188413775638937,2010,46.2
55.94871333550689,-3.1876505828637223,2010,37.7
55.949005123973265,-3.1844087491342634,2010, 
55.94899203410808,-3.185769507766692,2010, 
55.94398167637237,-3.20668760864558,2010, 
55.942812802017535,-3.211342514652028,2010, 
55.94356976645382,-3.207459357367428,2010,42
55.9475666465136,-3.1956540271747786,2010,38.4
55.947284139492204,-3.196061656038286,2010,60
55.94755551509842,-3.1949491095796176,2010, 
55.94761588131861,-3.196135937239908,2010, 
55.94319149440251,-3.2038770695488616,2010,36.5
55.94090331521839,-3.1812795724283305,2010,43.4
55.940596439015344,-3.1823589202299423,2010, 
55.94074331205296,-3.1810985887821457,2010, 
55.94179110684446,-3.200055093851808,2010,27.6
55.921825694430446,-3.200014042386241,2010,18.4
55.92762069857309,-3.2092679260743235,2010,28.8
55.9462733386331,-3.2157899778277557,2010,49.3
55.944090066577154,-3.1834741225191774,2010, 
55.94537297972025,-3.1846180968369806,2010, 
55.94483302796424,-3.183768989746526,2010, 
55.95033255843192,-3.1874599504787455,2010,49.4
55.940372782421825,-3.1803828672270282,2010, 
55.93963864149739,-3.1801043780765776,2010, 
55.9464766594446,-3.214307173262833,2010,55.6
55.947022854566576,-3.215413146879358,2010,52.4
55.94656445529693,-3.198921743563431,2010,51
55.94636724512016,-3.1997963401657112,2010,62.4
55.946540724035934,-3.199513478025836,2010,41.5
55.946444874464135,-3.1992062746784815,2010,54.9
55.942518771065494,-3.2950073800025534,2010,30.7
55.9408627702649,-3.3113949319333367,2010,36.3
55.93885163916879,-3.3938896516615604,2010,44.5
55.939135882822654,-3.3997275230561055,2010,37.6
55.93912319165024,-3.399262773561197,2010,51.3
55.95639645243059,-3.243159693463708,2010, 
55.95756293026847,-3.249539942323063,2010, 
55.9610833153534,-3.258559836839285,2010, 
55.95793423365055,-3.2510255143416518,2010, 
55.95691872404641,-3.2483819733927652,2010, 
55.957111473423076,-3.2488686924452743,2010, 
55.94545776948408,-3.28119071278528,2010,22.4
55.9604092250235,-3.305216038119213,2010,27
55.957159794276066,-3.248533888754094,2010,42.4
55.96025413925549,-3.3020391450434805,2010,25.6
55.96077835462779,-3.3034503818882093,2010,29.4
55.960702259791425,-3.3038482919330217,2010,47.5
55.96078310147833,-3.3038510106046775,2010, 
55.94563056512371,-3.2343441330101306,2010,43.2
55.94263510039978,-3.280441039698029,2010,38.6
55.94258652811584,-3.2799270783682295,2010,43.5
55.94254094884662,-3.2808542230596407,2010,58.8
55.943257142989786,-3.288002977895352,2010,31.1
55.96133643847679,-3.305904032057989,2010,32.1
55.93731023563091,-3.2262190899188234,2010,52.9
55.938195730394824,-3.2248222473470882,2010, 
55.9375123154783,-3.2257772240678877,2010, 
55.937524068086134,-3.226401945717814,2010, 
55.92113317935789,-3.296694402850868,2010,25.9
55.93844979143246,-3.2299852836682117,2010, 
55.93068260151457,-3.254404696388421,2010, 
55.93922020678451,-3.2266156503516856,2010,54.5
55.93170124901514,-3.2505480033603398,2010,47.4
55.939239287773816,-3.2265041856783254,2010,42.9
55.93900235149832,-3.2241272767167475,2010, 
55.902141358796605,-3.288623083371963,2010,23.5
55.94386864694593,-3.2317262156794304,2010, 
